100001#110011#0010101,21,218
100101#111111#0001011,21,198
000111#010101#0100011,21,126
011001#10001#111011,19,163
000111#011#011111,17,218
111001#101111#0010011,21,218
11101#011011#1011001,20,150
111001#010001#1001001,21,218
000001#111101#1111001,21,77
110001#110101#0111001,21,126
00001#001101#001111,19,207
11101#101#00111,15,126
1#0101111#1101111,17,268
11#0100101#1010101,18,232
11#101001#000101,16,119
0001#1011101#1010011,20,204
11011#1100111#01110001,22,190
1101#1000111#0011111,20,212
001111#110111#1110111,21,109
00111#111011#1100101,20,166
0#0011011#0011011,17,268
0#101011#101011,15,207
101101#0011011#10011001,23,221
101101#101111#0101011,21,207
101101#1101101#00010001,23,218
111011#1011#0010001,19,248
100001#01101#111011,19,232
010001#111#100101,17,268
11101#00111#110011,18,268
111001#0101101#10000001,23,204
01111#1011#110101,17,268
101#0111101#1100011,19,221
0#00001#00001,13,257
100101#01011#1100001,20,212
000111#0111001#01100001,23,232
001111#0101111#01101101,23,218
01111#1101#100101,17,26
101011#0011#1000001,19,218
101111#0001011#10100101,23,77
011111#0101101#00011001,23,175
010001#010101#0011001,21,212
010001#101#111001,17,212
1011#0100011#1111011,20,205
00011#010001#010111,19,221
111101#1000001#0000111,22,212
0001#1110011#1111011,20,257
000101#1001101#10000001,23,218
100011#1111101#00001001,23,212
010011#110111#1011011,21,96
101111#001111#1001111,21,207
110111#01001#1011001,20,218
00001#10001#100001,18,268
10001#11001#001001,18,232
110101#0101011#10101001,23,218
0#011001#011001,15,205
111001#0001001#1111011,22,221
111111#1111011#01110101,23,207
10111#00001#101101,18,221
10001#1100111#00100001,22,162
110101#1111001#0101111,22,232
011011#0101111#00001101,23,174
1110111#1111101#01101011,24,281
01111#0001111#01101001,22,232
010101#0011101#01100001,23,218
